Key,Value1,Value2
"Beans, Dry, Small White (0% moisture)",86,1.37
"Beans, Dry, Small Red (0% moisture)",87,1.37
"Beans, Dry, Black (0% moisture)",88,1.37
"Beans, Dry, Pinto (0% moisture)",89,1.37
"Beans, Dry, Great Northern (0% moisture)",90,1.37
"Broccoli, raw",91,0.9
"Ketchup, restaurant",92,2.61
"Eggs, Grade A, Large, egg white",93,4.67
"Eggs, Grade A, Large, egg yolk",94,4.67
"Oil, olive, extra virgin",98,5.18
"Eggs, Grade A, Large, egg whole",99,4.67
"Butter, stick, unsalted",101,3.32
"Flour, wheat, all-purpose, enriched, bleached",102,1.57
"Flour, wheat, all-purpose, enriched, unbleached",103,1.57
"Flour, wheat, all-purpose, unenriched, unbleached",104,1.57
"Butter, stick, salted",109,3.32
"Onions, red, raw",110,0.5
"Onions, yellow, raw",111,0.5
"Garlic, raw",112,0.53
"Flour, rice, brown",115,4.45
"Flour, rice, glutinous",116,4.45
"Flour, pastry, unenriched, unbleached",117,1.57
"Onions, white, raw",118,0.5
"Bananas, overripe, raw",119,0.86
"Bananas, ripe and slightly ripe, raw",120,0.86
"Apples, red delicious, with skin, raw",121,0.43
"Apples, fuji, with skin, raw",122,0.43
"Apples, gala, with skin, raw",123,0.43
"Apples, granny smith, with skin, raw",124,0.43
"Apples, honeycrisp, with skin, raw",125,0.43
"Oil, sunflower",127,3.66
"Oil, olive, extra light",129,5.18
"Mushroom, lion's mane",130,2.35
"Mushroom, oyster",131,2.35
"Mushrooms, shiitake",132,2.35
"Mushrooms, white button",133,2.35
"Soy milk, unsweetened, plain, shelf stable",134,0.98
"Almond milk, unsweetened, plain, shelf stable",135,0.66
"Spinach, baby",136,1.01
"Spinach, mature",137,1.01
"Tomato, roma",138,2.09
"Apple juice, with added vitamin C, from concentrate, shelf stable",143,0.46
"Orange juice, no pulp, not fortified, from concentrate, refrigerated",144,0.49
"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",148,0.49
"Tomato juice, with added ingredients, from concentrate, shelf stable",149,2.09
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",150,0.49
"Mushroom, portabella",151,2.35
"Mushroom, king oyster",152,2.35
"Mushroom, enoki",153,2.35
"Mushroom, crimini",154,2.35
"Mushroom, maitake",155,2.35
"Mushroom, beech",156,2.35
"Mushroom, pioppini",157,2.35
"Soy milk, sweetened, plain, refrigerated",158,0.98
"Almond milk, unsweetened, plain, refrigerated",159,0.66
"Oat milk, unsweetened, plain, refrigerated",160,0.45
"Carrots, mature, raw",161,0.94
"Carrots, baby, raw",162,0.94
"Peppers, bell, green, raw",163,0.92
"Peppers, bell, yellow, raw",164,0.92
"Peppers, bell, red, raw",165,0.92
"Peppers, bell, orange, raw",166,0.92
"Yogurt, plain, whole milk",168,3.11
"Yogurt, Greek, plain, whole milk",169,3.11
"Cheese, parmesan, grated, refrigerated",170,23.88
"Cheese, feta, whole milk, crumbled",171,23.88
"Flour, almond",172,0.43
"Flour, oat, whole grain",173,2.48
"Flour, potato",174,0.46
"Peanut butter, creamy",175,3.43
"Almond butter, creamy",177,0.39
"Cottage cheese, full fat, large or small curd",179,25.28
"Lettuce, iceberg, raw",183,4.93
"Lettuce, romaine, green, raw",184,4.93
"Lettuce, leaf, red, raw",185,4.93
"Lettuce, leaf, green, raw",186,4.93
"Nuts, pine nuts, raw",187,0.43
"Nuts, almonds, whole, raw",188,0.43
"Nuts, walnuts, English, halves, raw",189,0.43
"Nuts, pecans, halves, raw",190,0.43
"Oats, whole grain, rolled, old fashioned",191,2.48
"Oats, whole grain, steel cut",192,2.48
"Pineapple, raw",193,0.93
"Cherries, sweet, dark red, raw",194,1.05
"Beans, snap, green, raw",195,1.37
"Potatoes, russet, without skin, raw",196,0.46
"Potatoes, red, without skin, raw",197,0.46
"Potatoes, gold, without skin, raw",198,0.46
"Sweet potatoes, orange flesh, without skin, raw",199,0.46
"Celery, raw",200,0.53
"Cucumber, with peel, raw",201,0.85
"Cabbage, green, raw",202,0.89
"Cabbage, red, raw",203,0.89
"Strawberries, raw",204,3.24
"Raspberries, raw",205,8.37
"Blueberries, raw",206,1.05
"Grapes, red, seedless, raw",207,8.28
"Grapes, green, seedless, raw",208,8.28
"Applesauce, unsweetened, with added vitamin C",209,0.43
"Flour, rye",214,1.57
"Flour, barley",215,1.18
"Rice, brown, long grain, unenriched, raw",219,4.45
"Rice, white, long grain, unenriched, raw",220,4.45
"Beef, ground, 90% lean meat / 10% fat, raw",221,99.48
"Beef, ground, 80% lean meat / 20% fat, raw",222,99.48
"Pork, ground, raw",223,12.31
"Chicken, ground, with additives, raw",224,9.87
"Turkey, ground, 93% lean/ 7% fat, raw",225,9.87
"Nuts, brazilnuts, raw",226,0.43
"Nuts, cashew nuts, raw",227,0.43
"Nuts, hazelnuts or filberts, raw",228,0.43
"Peanuts, raw",229,3.15
"Nuts, macadamia nuts, raw",231,0.43
"Nuts, pistachio nuts, raw",232,0.43
"Seeds, pumpkin seeds (pepitas), raw",233,1.32
"Seeds, sunflower seed, kernel, raw",234,1.93
"Beans, cannellini, dry",236,1.37
"Chickpeas, (garbanzo beans, bengal gram), dry",237,1.34
"Lentils, dry",238,2.54
"Blackeye pea, dry",239,0.98
"Beans, black, canned, sodium added, drained and rinsed",240,1.37
"Beans, navy, canned, sodium added, drained and rinsed",241,1.37
"Beans, cannellini, canned, sodium added, drained and rinsed",242,1.37
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",243,1.34
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",244,1.37
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",245,1.37
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",246,0.98
"Beans, pinto, canned, sodium added, drained and rinsed",247,1.37
"Blackeye pea, canned, sodium added, drained and rinsed",248,0.98
"Beans, great northern, canned, sodium added, drained and rinsed",249,1.37
"Pork, loin, boneless, raw",250,12.31
"Pork, loin, tenderloin, boneless, raw",251,12.31
"Chicken, breast, boneless, skinless, raw",252,9.87
"Chicken, thigh, boneless, skinless, raw",253,9.87
"Beef, ribeye, steak, boneless, choice, raw",254,99.48
"Beef, round, top round, boneless, choice, raw",255,99.48
"Beef, chuck, roast, boneless, choice, raw",256,99.48
"Beef, flank, steak, boneless, choice, raw",257,99.48
"Yogurt, plain, nonfat",258,3.11
"Cheese, monterey jack, solid",259,23.88
"Cheese, pasteurized process cheese food or product, American, singles",260,23.88
"Cheese, provolone, sliced",261,23.88
"Cheese, oaxaca, solid",262,23.88
"Cheese, queso fresco, solid",263,23.88
"Cheese, cotija, solid",264,23.88
